icao24,callsign,paese,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp_raccolta
3c4a14,DLH590  ,Germany,1787658188,1787658188,18.3521,40.3406,11277.6,False,255.17,154.31,-0.33,,11917.68,2576,False,0,2026-08-25 11:43:14.978701
440050,AUA64C  ,Austria,1787658187,1787658187,16.7495,45.5076,10058.4,False,233.14,339.33,-0.33,,10523.22,1000,False,0,2026-08-25 11:43:14.978701
738056,ELY394  ,Israel,1787658188,1787658188,15.2771,39.5507,10668.0,False,264.41,104.77,0.0,,11292.84,4313,False,0,2026-08-25 11:43:14.978701
738059,ELY382  ,Israel,1787658152,1787658152,17.7496,42.5104,11277.6,False,246.02,130.25,0.0,,11849.1,0464,False,0,2026-08-25 11:43:14.978701
ac3448,AAL207  ,United States,1787658184,1787658187,8.7372,45.6169,,True,0.0,345.94,,,,,False,0,2026-08-25 11:43:14.978701
440073,EJU51VJ ,Austria,1787658188,1787658188,14.2714,43.6371,11894.82,False,243.92,107.17,-0.65,,12435.84,0401,False,0,2026-08-25 11:43:14.978701
440072,EJU89BT ,Austria,1787658187,1787658188,9.2905,45.4407,5486.4,False,187.22,137.9,8.13,,5745.48,0402,False,0,2026-08-25 11:43:14.978701
440018,EJU47QR ,Austria,1787658187,1787658188,8.7998,45.3503,960.12,False,103.92,348.58,-2.6,,1028.7,2272,False,0,2026-08-25 11:43:14.978701
472fd0,JSD219  ,Hungary,1787658187,1787658188,14.3834,46.2435,10050.78,False,205.96,251.66,0.33,,10431.78,4207,False,0,2026-08-25 11:43:14.978701
440036,EJU98ZN ,Austria,1787658187,1787658188,9.2512,42.5561,9136.38,False,215.59,355.89,-0.33,,9662.16,1000,False,0,2026-08-25 11:43:14.978701
44001f,,Austria,1787658184,1787658184,8.7252,45.6446,,True,1.29,261.56,,,,,False,0,2026-08-25 11:43:14.978701
44001b,AUA849  ,Austria,1787658187,1787658188,18.3897,45.0868,10668.0,False,233.45,161.37,0.0,,11201.4,7151,False,0,2026-08-25 11:43:14.978701
505d83,OMELA   ,Slovakia,1787658188,1787658188,14.3406,45.8745,1219.2,False,78.6,43.41,0.65,,1310.64,7004,False,0,2026-08-25 11:43:14.978701
405638,EZY43DX ,United Kingdom,1787658188,1787658188,10.3421,46.8218,11582.4,False,215.79,319.93,0.0,,11993.88,7516,False,0,2026-08-25 11:43:14.978701
4891ad,ENT6632 ,Poland,1787658188,1787658188,16.7765,45.09,11582.4,False,211.11,316.97,0.0,,12100.56,6051,False,0,2026-08-25 11:43:14.978701
471d6a,WZZ221  ,Hungary,1787658188,1787658188,12.2936,45.5551,10965.18,False,239.77,16.45,0.33,,11414.76,1000,False,0,2026-08-25 11:43:14.978701
471d6e,WZZ2AV  ,Hungary,1787658188,1787658188,10.6867,45.392,10972.8,False,258.18,54.0,0.33,,11430.0,1000,False,0,2026-08-25 11:43:14.978701
aa9093,AAL239  ,United States,1787658188,1787658188,11.503,41.8699,3931.92,False,169.76,301.62,8.78,,4191.0,,False,0,2026-08-25 11:43:14.978701
471d66,WZZ884  ,Hungary,1787658188,1787658188,16.9162,45.623,10378.44,False,209.56,301.86,0.0,,10866.12,6115,False,0,2026-08-25 11:43:14.978701
471d5e,WMT9077 ,Hungary,1787658186,1787658187,15.3652,41.0782,4792.98,False,148.99,284.8,-8.45,,5135.88,2213,False,0,2026-08-25 11:43:14.978701
